scenario,seed,tick,warmup,category,tier,price,units,sold,blocked,unaffordable,mix_share
credit_high,3,1,1,food,budget,180.00,400,400,143,0,0.485437
credit_high,3,1,1,food,standard,300.00,400,400,53,4,0.485437
credit_high,3,1,1,food,premium,540.00,200,24,0,0,0.029126
credit_high,3,1,1,leisure,budget,120.00,400,400,23,0,0.472813
credit_high,3,1,1,leisure,standard,200.00,400,386,0,0,0.456265
credit_high,3,1,1,leisure,premium,360.00,200,60,0,0,0.070922
credit_high,3,1,1,clothing,budget,240.00,67,67,4,1,0.598214
credit_high,3,1,1,clothing,standard,400.00,67,43,0,1,0.383929
credit_high,3,1,1,clothing,premium,720.00,33,2,0,0,0.017857
credit_high,3,1,1,hobby,budget,360.00,33,33,3,2,0.634615
credit_high,3,1,1,hobby,standard,600.00,33,17,0,3,0.326923
credit_high,3,1,1,hobby,premium,1080.00,17,2,0,1,0.038462
credit_high,3,1,1,electronics,budget,540.00,11,11,13,2,0.611111
credit_high,3,1,1,electronics,standard,900.00,11,4,0,2,0.222222
credit_high,3,1,1,electronics,premium,1620.00,6,3,0,0,0.166667
credit_high,3,1,1,appliances,budget,480.00,4,2,0,0,0.500000
credit_high,3,1,1,appliances,standard,800.00,4,2,0,0,0.500000
credit_high,3,1,1,appliances,premium,1440.00,2,0,0,0,0.000000
credit_high,3,2,1,food,budget,183.22,400,400,69,0,0.429646
credit_high,3,2,1,food,standard,301.99,400,400,294,10,0.429646
credit_high,3,2,1,food,premium,516.24,200,131,0,6,0.140709
credit_high,3,2,1,leisure,budget,120.35,400,400,24,1,0.415800
credit_high,3,2,1,leisure,standard,199.65,400,400,108,7,0.415800
credit_high,3,2,1,leisure,premium,347.40,200,162,0,0,0.168399
credit_high,3,2,1,clothing,budget,240.72,67,67,86,6,0.540323
credit_high,3,2,1,clothing,standard,392.84,67,49,0,1,0.395161
credit_high,3,2,1,clothing,premium,686.18,33,8,0,1,0.064516
credit_high,3,2,1,hobby,budget,361.64,33,33,1,3,0.464789
credit_high,3,2,1,hobby,standard,585.45,33,33,1,2,0.464789
credit_high,3,2,1,hobby,premium,1032.35,17,5,0,0,0.070423
credit_high,3,2,1,electronics,budget,567.00,11,11,17,2,0.478261
credit_high,3,2,1,electronics,standard,871.36,11,11,7,2,0.478261
credit_high,3,2,1,electronics,premium,1579.50,6,1,0,3,0.043478
credit_high,3,2,1,appliances,budget,468.00,4,4,6,0,0.571429
credit_high,3,2,1,appliances,standard,780.00,4,2,0,0,0.285714
credit_high,3,2,1,appliances,premium,1368.00,2,1,0,0,0.142857
credit_high,3,3,1,food,budget,184.80,400,396,0,0,0.397590
credit_high,3,3,1,food,standard,313.09,400,400,206,13,0.401606
credit_high,3,3,1,food,premium,507.33,200,200,124,16,0.200803
credit_high,3,3,1,leisure,budget,120.71,400,376,0,1,0.385246
credit_high,3,3,1,leisure,standard,202.35,400,400,98,8,0.409836
credit_high,3,3,1,leisure,premium,344.10,200,200,48,6,0.204918
credit_high,3,3,1,clothing,budget,252.75,67,67,83,9,0.432258
credit_high,3,3,1,clothing,standard,387.56,67,67,39,8,0.432258
credit_high,3,3,1,clothing,premium,660.19,33,21,0,5,0.135484
credit_high,3,3,1,hobby,budget,362.18,33,33,8,4,0.407407
credit_high,3,3,1,hobby,standard,586.34,33,33,1,1,0.407407
credit_high,3,3,1,hobby,premium,995.92,17,15,0,1,0.185185
credit_high,3,3,1,electronics,budget,595.35,11,11,8,5,0.423077
credit_high,3,3,1,electronics,standard,899.09,11,11,2,7,0.423077
credit_high,3,3,1,electronics,premium,1513.69,6,4,0,5,0.153846
credit_high,3,3,1,appliances,budget,491.40,4,4,4,2,0.500000
credit_high,3,3,1,appliances,standard,760.50,4,4,3,0,0.500000
credit_high,3,3,1,appliances,premium,1333.80,2,0,0,1,0.000000
credit_high,3,4,1,food,budget,184.71,400,398,0,0,0.398798
credit_high,3,4,1,food,standard,321.15,400,400,69,18,0.400802
credit_high,3,4,1,food,premium,523.06,200,200,139,14,0.200401
credit_high,3,4,1,leisure,budget,120.34,400,377,0,1,0.385875
credit_high,3,4,1,leisure,standard,204.82,400,400,25,19,0.409417
credit_high,3,4,1,leisure,premium,348.23,200,200,91,9,0.204708
credit_high,3,4,1,clothing,budget,265.39,67,67,39,13,0.408537
credit_high,3,4,1,clothing,standard,398.84,67,67,49,4,0.408537
credit_high,3,4,1,clothing,premium,648.19,33,30,0,4,0.182927
credit_high,3,4,1,hobby,budget,366.57,33,31,0,3,0.382716
credit_high,3,4,1,hobby,standard,587.23,33,33,5,1,0.407407
credit_high,3,4,1,hobby,premium,990.06,17,17,4,1,0.209877
credit_high,3,4,1,electronics,budget,617.00,11,11,6,7,0.392857
credit_high,3,4,1,electronics,standard,907.26,11,11,9,2,0.392857
credit_high,3,4,1,electronics,premium,1488.46,6,6,3,3,0.214286
credit_high,3,4,1,appliances,budget,515.97,4,4,7,0,0.500000
credit_high,3,4,1,appliances,standard,789.02,4,4,1,3,0.500000
credit_high,3,4,1,appliances,premium,1267.11,2,0,0,2,0.000000
credit_high,3,5,1,food,budget,184.66,400,400,0,0,0.400000
credit_high,3,5,1,food,standard,323.92,400,400,31,23,0.400000
credit_high,3,5,1,food,premium,541.24,200,200,59,14,0.200000
credit_high,3,5,1,leisure,budget,120.00,400,385,0,1,0.390863
credit_high,3,5,1,leisure,standard,205.46,400,400,2,21,0.406091
credit_high,3,5,1,leisure,premium,356.15,200,200,53,8,0.203046
credit_high,3,5,1,clothing,budget,273.11,67,67,23,16,0.401198
credit_high,3,5,1,clothing,standard,413.42,67,67,32,6,0.401198
credit_high,3,5,1,clothing,premium,645.24,33,33,21,4,0.197605
credit_high,3,5,1,hobby,budget,365.46,33,31,0,4,0.382716
credit_high,3,5,1,hobby,standard,591.68,33,33,4,4,0.407407
credit_high,3,5,1,hobby,premium,1001.71,17,17,10,0,0.209877
credit_high,3,5,1,electronics,budget,633.83,11,11,1,6,0.392857
credit_high,3,5,1,electronics,standard,944.38,11,11,6,5,0.392857
credit_high,3,5,1,electronics,premium,1525.67,6,6,2,2,0.214286
credit_high,3,5,1,appliances,budget,541.77,4,4,9,1,0.400000
credit_high,3,5,1,appliances,standard,798.88,4,4,3,1,0.400000
credit_high,3,5,1,appliances,premium,1203.75,2,2,0,3,0.200000
