scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,cpi_category_food,cpi_category_leisure,cpi_category_clothing,cpi_category_hobby,cpi_category_electronics,cpi_category_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,4,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,16304366.75,0.00,0,15426357.41,0.00,0.00,0,200,173401.48,0.00,0.00,88780.00,331.120000,462,380,0.000000,0.000000,200,170,43440.00,77,86,7,200,170,30480.00,78,75,17,38,29,8080.00,22,7,0,12,6,2640.00,4,2,0,10,5,4140.00,3,1,1,2,0,0.00,0,0,0,800,704607.86,0.00,0.00,337560.00,1275.680000,1850,1478,0.000000,0.000000,800,664,166920.00,323,314,27,800,683,118520.00,322,313,48,125,68,20960.00,45,20,3,80,48,22320.00,29,18,1,34,10,6120.00,8,2,0,11,5,2720.00,4,1,0
credit_off,4,2,1,0.986854,0.991193,0.987790,0.975025,0.976740,0.981689,0.979000,0.991193,0.987790,0.975025,0.976740,0.981689,0.979000,16304366.75,0.00,0,15347281.42,0.00,0.00,0,200,198655.44,0.00,0.00,105836.78,388.640000,470,420,0.000000,0.000000,200,191,52589.86,86,81,24,200,195,38693.38,74,83,38,40,21,6411.18,12,9,0,16,9,5273.82,4,3,2,11,4,2868.54,2,2,0,3,0,0.00,0,0,0,800,758429.89,0.00,0.00,467261.90,1627.360000,1970,1752,0.000000,0.000000,800,748,213195.15,314,319,115,800,785,151907.62,326,317,142,214,122,42070.01,55,58,9,97,68,37427.19,29,30,9,44,21,17565.93,9,9,3,15,8,5096.00,4,4,0
credit_off,4,3,1,0.993036,1.002507,0.989930,0.978093,0.972381,0.989871,0.979315,1.002507,0.989930,0.978093,0.972381,0.989871,0.979315,16304366.75,0.00,0,15327626.96,0.00,0.00,0,200,199046.69,0.00,0.00,130699.49,438.920000,489,449,0.000000,0.000000,200,200,61185.61,75,83,42,200,195,40656.84,67,81,47,51,35,13824.78,13,15,7,20,12,8526.78,1,7,4,14,6,5976.28,2,2,2,4,1,529.20,1,0,0,800,777693.10,0.00,0.00,501820.72,1706.720000,1985,1798,0.000000,0.000000,800,798,239197.57,323,317,158,800,786,155042.32,314,319,153,230,128,48706.22,54,52,22,90,56,33758.17,21,22,13,45,21,17811.12,9,9,3,20,9,7305.32,3,4,2
credit_off,4,4,1,1.006743,1.019700,0.997710,1.000086,0.968032,1.011757,1.028280,1.019700,0.997710,1.000086,0.968032,1.011757,1.028280,16304366.75,0.00,0,15325613.98,0.00,0.00,0,200,201802.98,0.00,0.00,128334.45,426.240000,502,452,0.000000,0.000000,200,200,60098.10,82,82,36,200,198,38957.21,83,77,38,54,26,10264.40,11,10,5,28,21,12411.56,9,7,5,17,6,5784.57,3,1,2,3,1,818.61,0,1,0,800,776949.79,0.00,0.00,521827.24,1734.520000,2006,1811,0.000000,0.000000,800,799,245627.54,317,318,164,800,780,157943.25,295,323,162,239,141,56381.34,56,57,28,102,62,36028.76,24,26,12,40,22,20075.94,8,10,4,25,7,5770.41,4,1,2
credit_off,4,5,1,1.019371,1.033913,1.004200,1.025530,0.974282,1.035674,1.031935,1.033913,1.004200,1.025530,0.974282,1.035674,1.031935,16304366.75,0.00,0,15308365.81,0.00,0.00,0,200,199625.01,0.00,0.00,133268.71,435.280000,494,448,1.000000,0.000000,200,200,63431.10,73,85,42,200,193,39782.58,73,77,43,54,35,15454.99,13,11,11,23,14,8411.00,5,6,3,13,6,6189.04,2,2,2,4,0,0.00,0,0,0,800,796375.93,0.00,0.00,501657.79,1687.320000,1952,1769,0.000000,0.000000,800,796,246005.54,323,315,158,800,784,157879.10,309,318,157,199,116,48448.60,38,56,22,94,54,32933.73,16,27,11,34,11,10864.50,4,4,3,25,8,5526.32,4,4,0
credit_off,4,6,1,1.022980,1.039513,1.006970,1.038948,0.966880,1.017251,1.039443,1.039513,1.006970,1.038948,0.966880,1.017251,1.039443,16304366.75,0.00,0,15293450.08,0.00,0.00,0,200,197926.60,0.00,0.00,132789.15,434.200000,502,447,0.000000,0.000000,200,199,64233.15,77,74,48,200,197,40677.91,79,72,46,54,27,11990.17,10,9,8,30,20,12041.58,8,7,5,13,2,2415.63,0,1,1,5,2,1430.71,1,1,0,800,812990.07,0.00,0.00,504469.79,1688.120000,1999,1779,0.000000,0.000000,800,798,247068.10,320,326,152,800,786,158685.10,304,328,154,225,123,49504.62,57,43,23,103,47,25649.61,25,13,9,42,18,17973.88,5,8,5,29,7,5588.48,3,3,1
credit_off,4,7,1,1.025012,1.044147,1.008690,1.038496,0.959727,1.009213,1.061995,1.044147,1.008690,1.038496,0.959727,1.009213,1.061995,16304366.75,0.00,0,15285100.76,0.00,0.00,0,200,196081.32,0.00,0.00,132936.02,436.840000,503,447,0.000000,0.000000,200,200,64833.28,74,80,46,200,197,40402.53,74,82,41,56,32,15588.82,3,19,10,26,12,7781.65,2,7,3,16,5,3065.80,5,0,0,5,1,1263.94,0,0,1,800,823184.67,0.00,0.00,510889.33,1684.920000,1959,1763,1.000000,0.000000,800,795,247489.82,321,320,154,800,788,159547.17,311,318,159,170,85,39223.21,17,45,23,114,65,36794.06,31,20,14,43,21,20603.05,5,11,5,32,9,7232.02,4,4,1
credit_off,4,8,1,1.025970,1.046787,1.009780,1.029208,0.958303,1.008596,1.101890,1.046787,1.009780,1.029208,0.958303,1.008596,1.101890,16304366.75,0.00,0,15283434.17,0.00,0.00,0,200,203350.80,0.00,0.00,123821.26,413.200000,497,440,1.000000,0.000000,200,200,61447.92,88,73,39,200,196,38913.72,84,74,38,45,24,9458.67,11,9,4,32,13,7937.03,6,3,4,14,6,5183.32,1,5,0,6,1,880.60,0,1,0,800,817581.78,0.00,0.00,526686.82,1726.080000,2022,1798,0.000000,0.000000,800,798,252219.96,310,327,161,800,780,160186.28,292,326,162,207,127,53352.68,48,51,28,136,70,40016.45,27,30,13,44,15,13652.34,6,6,3,35,8,7259.11,3,3,2
credit_off,4,9,1,1.027741,1.050333,1.010580,1.024878,0.968473,0.995012,1.108680,1.050333,1.010580,1.024878,0.968473,0.995012,1.108680,16304366.75,0.00,0,15270065.72,0.00,0.00,0,200,208004.06,0.00,0.00,126437.48,419.840000,507,438,0.000000,0.000000,200,195,62527.37,72,83,40,200,190,39252.32,68,83,39,56,33,12987.49,14,14,5,33,14,7456.01,5,8,1,12,5,3311.67,4,1,0,6,1,902.62,0,1,0,800,826296.97,0.00,0.00,512368.74,1683.440000,2031,1776,0.000000,0.000000,800,788,243147.15,328,317,143,800,783,157218.20,315,317,151,208,120,49512.58,44,53,23,128,57,35318.66,18,25,14,60,22,21206.24,7,9,6,35,6,5965.91,1,3,2
credit_off,4,10,1,1.027289,1.050333,1.009890,1.023976,0.965092,0.996737,1.112365,1.050333,1.009890,1.023976,0.965092,0.996737,1.112365,16304366.75,0.00,0,15268168.01,0.00,0.00,0,200,214322.33,0.00,0.00,124772.47,419.040000,507,440,1.000000,0.000000,200,200,62488.65,79,84,37,200,198,40838.33,72,85,41,49,19,7146.16,12,3,4,39,19,10120.32,10,6,3,10,2,2373.77,0,1,1,9,2,1805.24,0,2,0,800,821876.41,0.00,0.00,525504.49,1720.480000,2064,1808,0.000000,0.000000,800,798,252242.57,319,316,163,800,792,159868.58,319,314,159,229,126,51823.46,55,42,29,136,60,34094.00,23,27,10,63,26,23102.84,11,10,5,36,6,4373.04,4,2,0
